lab,loinc_code
%_MACROP,Not mapped
%ABI,Not mapped
%ABR,Not Mapped
%AGI,Not mapped
%AO,Not mapped
%AS,Not Mapped
%CM,Not Mapped
%CT,Not Mapped
%DBS,Not mapped
%DIG,Not mapped
%DU,Not mapped
%ELU,Not mapped
%PI,Not mapped
%ST,Not Mapped
%TS,Not Mapped
%UDIV,Not Mapped
%UN,Not Mapped
%UO,Not mapped
%XM,Not Mapped
APIGGQ,14245-5
APIGMQ,14246-3
APLASM,24103-4
APLIGG,7801-4
APLIGM,7802-2
APLS14,Not mapped
APLSM,Not mapped
APLSM3,Not mapped
APOL21,751-8
APOLY,751-8
APP124,10333-3
APP26,10333-3
APPEARBF,9335-1
APPEARU,5767-9
APPQ,9335-1
APPRCSF,10333-3
APRO,26523-1
APRO14,26523-1
APRO25,26523-1
APRO3,26523-1
APROQ,19429-0
APSIGG,32032-5
APSIGM,32033-3
APT,5902-2
APT14,5902-2
APT15,5902-2
APT16,5902-2
APTT,14979-9
APTT18,14979-9
APTT2,14979-9
APTTITXM,14979-9
APTTMIXI,14979-9
ARAC20,35168-4
ARCC20,35168-4
AREF15,Not mapped
ARET17,14196-0
ARET24,14196-0
ARGIN,20637-5
ARGQ,20637-5
ARGSC,Not mapped
ARIP,38893-4
ARIX,49060-7
ARST,5583-0
ARTA26,14196-0
ARTC18,17849-1
ARU,Not mapped
ARUQ,Not mapped
AS14,Not mapped
ASADS,Not mapped
ASAGQ,Not mapped
ASAQ,20639-1
ASCAA,31032-6
ASCAG,6713-2
ASCGQ,6713-2
ASCTQ,Not mapped
ASEG17,751-8
ASEG25,751-8
ASEG28,751-8
ASEL,Not mapped
ASFGQ,26954-8
ASFLQ,23820-4
ASFQ,23821-2
ASFUMG,Not mapped
ASFUQ,Not mapped
ASGAA,Not mapped
ASGAI,Not mapped
ASGMQ,10359-8
ASIGAQ,Not mapped
ASIGGQ,13663-0
ASIGMQ,10359-8
ASIGQ,Not mapped
ASM3Q,15653-9
ASMA,5358-7
ASMA1Q,15529-1
ASMAFQ,Not mapped
ASMALQ,15530-9
ASMAPQ,15585-3
ASMBEQ,15738-8
ASMBIQ,15579-6
ASMBLQ,15577-0
ASMC1Q,15634-9
ASMC2Q,15659-6
ASMC3Q,15606-7
ASMCAQ,15609-1
ASMCDQ,15599-4
ASMCHQ,15642-2
ASMCOQ,15647-1
ASMCQ,15650-5
ASMCTQ,15605-9
ASMD1Q,Not mapped
ASMDGQ,15685-1
ASMDRQ,15682-8
ASMDUQ,15791-7
ASMELQ,15697-6
ASMEWQ,Not mapped
ASMEYQ,15691-9
ASMGLQ,15729-7
ASMHDQ,15789-1
ASMITQ,15680-2
ASMKBQ,15744-6
ASMLAQ,15805-5
ASMMCQ,Not mapped
ASMMFQ,15709-9
ASMMKQ,15846-9
ASMMUQ,15862-6
ASMO1Q,15885-7
ASMOGQ,15746-1
ASMOKQ,15875-8
ASMPEQ,15917-8
ASMPGQ,15921-0
ASMPLQ,Not mapped
ASMPNQ,15924-4
ASMPRQ,15749-5
ASMPVQ,39553-3
ASMRGQ,15975-6
ASMRIQ,15994-7
ASMRNP,29374-6
ASMSHQ,16018-4
ASMSOQ,15568-9
ASMSSQ,Not mapped
ASMSYQ,Not mapped
ASMTHQ,16052-3
ASMTMQ,16054-9
ASMTOQ,16057-2
ASMUGQ,15863-4
ASMWAQ,15546-5
ASMWQ,16078-8
ASMWTQ,16085-3
ASMWYQ,16089-5
ASN,Not mapped
ASN1Q,6830-4
ASNGQ,10894-4
ASO,5370-2
ASPAS,Not mapped
ASPER,6025-1
ASPFQ,Not mapped
ASPFUQ,6025-1
ASPQ,20638-3
ASPR14,Not mapped
ASPR24,Not mapped
ASPR25,Not mapped
ASPR28,Not mapped
ASPRC,20639-1
ASPRE,Not mapped
ASPRG,20638-3
ASPS24,Not mapped
ASQ,5583-0
AST,1920-8
AST14,1920-8
AST21,1920-8
AST24,1920-8
AST25,1920-8
AST26,1920-8
AST27,1920-8
AST28,1920-8
ASTS,Not mapped
ASTYPE,Not mapped
ASUB,30199-4
ASWARM,Not mapped
AT3ACQ,27811-9
AT3ANQ,27811-9
AT3K,27811-9
ATHA24,Not mapped
ATHEM2,Not mapped
ATHM24,Not mapped
ATHR14,Not mapped
ATIII,27811-9
ATL14,13046-8
ATLY15,13046-8
ATLY16,13046-8
ATLY18,13046-8
ATMN17,3298-7
ATMUQ,Not mapped
ATNI,1858-0
ATPAQ,49503-6
ATPARQ,49503-6
ATPP,Not mapped
ATRIPQ,1825-9
ATRYP,1825-9
ATYL24,13046-8
ATYL27,13046-8
ATYLY,13046-8
ATYLY3,43743-4
AU24,Not mapped
AURPQ,6029-3
AUTNO,Not mapped
AVCC,5041-9
AVO2DP,61007-1
AVP,3126-0
AWBC,6690-2
AWBC15,6690-2
AWBC16,6690-2
AWBC21,6690-2
AWCO18,Not mapped
AZINQ,Not mapped
B12,2132-9
B1214,2132-9
B1215,2132-9
B1216,2132-9
B1217,2132-9
B1223,2132-9
B1224,2132-9
B1225,2132-9
B1226,2132-9
B1227,2132-9
B19G,5273-8
B19M,5274-6
B19PQ,9571-1
B2714,Not mapped
B27Q,26028-1
B2CSFQ,1951-3
B2GA26,44447-1
B2GG26,44448-9
B2GLYCOI,Not mapped
B2GM26,44449-7
B2GPQ,16136-4
B2IGAQ,21108-6
B2IGGQ,16135-6
B2MI1Q,1952-1
B2MIC,1952-1
B2MICRO,1952-1
B2TRFQ,43858-0
BA14,30180-4
BA15,30180-4
BA16,30180-4
BA17,30180-4
BA28,30180-4
BAA23,704-7
BAAB14,704-7
BABEGQ,31244-7
BABEMQ,27965-3
BAC28,5769-5
BACFEN,9353-4
BACLQ,9353-4
BACT,5769-5
BACT14,5769-5
BACT18,25145-4??
BACT24,33218-9
BACT26,5769-5
BACTN,Not mapped
BACTU,5769-5
BAIAQ,Not mapped
BAIBA,26605-6
BAIQ,Not mapped
BAL15,5640-8
BAL16,5640-8
BALAN,26604-9
BALE25,Not mapped
BALG18,Not mapped
BALL25,Not mapped
BALM25,Not mapped
BALN25,Not mapped
BALO25,51586-6
BALS18,Not mapped
BAM15,Not mapped
BAM16,Not mapped
BAMTRP,Not mapped
BAMTTT,Not mapped
BAND,764-1
BAND14,764-1
BAND15,764-1
BAND16,764-1
BAND17,764-1
BAND24,764-1
BAND25,764-1
BAND26,764-1
BAND27,764-1
BAND28,764-1
BAND3,764-1
BANDD,763-3
BANDS,764-1
BANPRQ,24039-0
BAO,Not mapped
BAP23,30180-4
BARB17,3377-9
BARB23,3377-9
BARB28,3377-9
BARB3,3377-9
BARLEY,6037-6
BARTHQ,16276-8
BARTQQ,16277-6
BASA14,1925-7
BASC25,30180-4
BASD14,1922-4
BASDEP,1922-4
BASDVP,1924-0
BASE14,1925-7
BASE24,Not mapped
BASEVP,1927-3
BASEXP,1925-7
BASI17,30180-4
BASISN,Not mapped
BASIST,Not mapped
BASO,30180-4
BASO%,30180-4
BASO18,30180-4
BASO21,30180-4
BASO24,30180-4
BASO25,30180-4
BASO3,30180-4
BASOD,704-7
BASOQ,Not mapped
BASOS,30180-4
BASSTP,703-9
BAST,703-9
BAST14,703-9
BASV14,1927-3
BBA,Not mapped
BBAINT,Not mapped
BBC,Not mapped
BBCT,882-1
BBCT28,Not mapped
BBGA,22128-3
BBGB,13502-0
BBGC,22128-3
BBGMCI,Not mapped
BBINTP,9586-9
BBMA,22135-8
BBMB,Not mapped
BBMC,22135-8
BBRBAM,3338-1
BBRBPN,3948-7
BBRBPT,3924-8
BBRBSC,4028-7
BBSORQ,Not mapped
BBSTYQ,Not mapped
BBUR1Q,42589-2
BBURGQ,42589-2
BCELL,8117-4
BCELNO,8116-6
BCH15,Not mapped
BCH16,Not mapped
BCL15,2069-3
BCL16,2069-3
BCLCQ,Not mapped
BCMRCT,Not mapped
BCMT26,Not mapped
BCOM,8251-1
BCOM14,8251-1
BCOM17,8251-1
BCOM18,8251-1
BCOM23,8251-1
BCOM25,8251-1
BCOM26,8251-1
BCOM27,8251-1
BCOM28,8251-1
BCOM3,8251-1
BCPEQ,13976-6
BCPMQ,Not mapped
BCR15,3097-3
BCR16,3097-3
BCR1Q,Not mapped
BCR23,3097-3
BCR26,3097-3
BCR27,3097-3
BCRR25,3097-3
BCRT18,2160-0
BCRTFQ,Not mapped
BCRTSQ,2143-6
BCT25,5769-5
BD23,1922-4
BD26,1922-4
BDA25,1922-4
BDA27,1922-4
BDA3,1922-4
BDASE,Not mapped
BDASEC,Not mapped
BDASEI,Not mapped
BDC27,Not mapped
BDCRT3,38483-4
BDEF17,30318-0
BDEF18,30318-0
BDESIP,3531-1
BDESIQ,3531-1
BDFA1Q,550-4
BDHGB3,30352-9
BDIL26,Not mapped
BDOXPN,3579-0
BDP24,1922-4
BDP25,30318-0
BDRES,88923-8
BDV24,1924-0
BDV25,1924-0
BDV27,1924-0
BDV3,1924-0
BE,1925-7
