lab,loinc_code
%_MACROP,Not mapped
%ABI,Not mapped
%ABR,Not Mapped
%AGI,Not mapped
%AO,Not mapped
%AS,Not Mapped
%CM,Not Mapped
%CT,Not Mapped
%DBS,Not mapped
%DIG,Not mapped
%DU,Not mapped
%ELU,Not mapped
%PI,Not mapped
%ST,Not Mapped
%TS,Not Mapped
%UDIV,Not Mapped
%UN,Not Mapped
%UO,Not mapped
%XM,Not Mapped
GLUCSF,2342-4
GLUF25,Not mapped
GLUG25,2339-0
GLUGAS,41651-1
GLUI,2339-0
GLUI14,2339-0
GLUI27,2339-0
GLUI28,2339-0
GLUP,2339-0
GLUP24,2339-0
GLUP25,2339-0
GLUP26,2339-0
GLUP27,2339-0
GLUPOC,2339-0
GLUQ,Not mapped
GLUR27,2345-7
GLUSQ,Not mapped
GLUT1Q,6125-9
GLUTAQ,25103-3
GLUTQ,25104-1
GLUUR,Not mapped
GLUV24,2339-0
GLUV25,2339-0
GLUX2,2345-7
GLWB14,2339-0
GLYB,10540-3
GLYBU,Not mapped
GLYBUR,10540-3
GLYCN,20644-1
GLYCOA,Not mapped
GLYCOHGB,4548-4
GLYH14,4548-4
GLYH2,4548-4
GLYHG3,4548-4
GLYHGB,4548-4
GLYOQ,25107-4
GLYQ,20644-1
GM1GQ,Not mapped
GM1IGG,Not mapped
GM1IGM,Not mapped
GM1MQ,Not mapped
GMPQ,40465-7
GNT3,3665-7
GNTMCP,3663-2
GNTMCR,3664-0
GNTMCT,3665-7
GOCCRSLT,Not mapped
GOCCTECH,Not mapped
GOT15,1920-8
GOT16,1920-8
GOT23,1920-8
GP1APM,Not mapped
GP46,Not mapped
GPH14,Not mapped
GPH17,Not mapped
GPHP,Not mapped
GPIA,Not mapped
GPIBIX,Not mapped
GPIGA,21108-6
GPIGE,6134-1
GPIGG,16135-6
GPIGM,16136-4
GPIIB,Not mapped
GPT15,1742-6
GPT16,1742-6
GPT23,1742-6
GPUTQ,24082-0
GQ1BQ,31164-7
GRAGQ,6124-2
GRAN18,Not mapped
GRAN26,Not mapped
GRAN28,Not mapped
GRANCU,5793-5
GRAPP,9335-1
GRAQ,53831-4
GRASMQ,Not mapped
GRHOR,2963-7
GRHORM,2963-7
GROS18,Not mapped
GRPH,Not mapped
GRX115,Not mapped
GRX116,Not mapped
GT2H24,Not mapped
GTF3,1558-6
GTPL14,5908-9
GTRF16,Not mapped
GTTC25,Not mapped
H12CF,30355-2
H12IN,Not mapped
H12MX,Not mapped
H1AQ,Not mapped
H1COPQ,20447-9
H1GI,Not mapped
H1GIQ,Not mapped
H1GQ,7909-5
H1GX,Not mapped
H2AQ,Not mapped
H2GI,Not mapped
H2GIQ,Not mapped
H2GQ,5209-2
H2GX,Not mapped
H5701Q,Not mapped
H63D,Not mapped
HA1C26,4548-4
HAB24,Not mapped
HABA24,Not mapped
HADDOC,7384-1
HAIGGQ,Not mapped
HAIGM,Not mapped
HAIGMQ,Not mapped
HALDOL,3669-9
HAMSTE,Not mapped
HANTG,Not mapped
HANTM,Not mapped
HAPT14,4542-7
HAPTO,4542-7
HAPTOGB,4542-7
HAPTOQ,4542-7
HAVABI,13951-9
HAVIGM,13950-1
HAVM24,Not mapped
HAVT24,Not mapped
HAZLNT,6136-6
HB,718-7
HBA02,Not mapped
HBA2,Not mapped
HBAG23,Not mapped
HBAGLS,Not mapped
HBASOQ,Not mapped
HBCA14,Not mapped
HBCABQ,13952-7
HBCALS,Not mapped
HBCI24,24113-3
HBCIGM,24113-3
HBCM23,Not mapped
HBCMQ,24113-3
HBCN24,Not mapped
HBCO14,Not mapped
HBCO26,Not mapped
HBCOMV,41648-7
HBCOP,2030-5
HBCOQ,Not mapped
HBCQ,4563-3
HBCR,Not mapped
HBCT24,Not mapped
HBCV25,Not mapped
HBEABQ,13953-5
HBEAGQ,13954-3
HBF2,4576-5
HBNEU3,Not mapped
HBRACQ,15806-3
HBS2,4625-0
HBSAB,5193-8
HBSAB3,10900-9
HBSABQ,10900-9
HBSAG,5196-1
HBSAG3,5196-1
HBSAQ,Not mapped
HBSQ,Not mapped
HBSRQ,7905-3
HBVCAB,Not mapped
HBVDDQ,42595-9
HBVDNQ,42595-9
HBVEAB,Not mapped
HBVEAG,Not mapped
HBVGTQ,32366-7
HBVNLS,Not mapped
HBVQLQ,29610-3
HBVQMD,Not mapped
HC161Q,30357-8
HC16Q,30356-0
HC3P25,1959-6
HC4Q,35655-0
HC6Q,30358-6
HCAB23,16128-1
HCAB24,16128-1
HCABLS,Not mapped
HCAS,Not mapped
HCAU,27266-6
HCG15,21198-7
HCG16,21198-7
HCG17,2118-8
HCG23,2118-8
HCG24,21198-7
HCG25,21198-7
HCG26,21198-7
HCG27,21198-7
HCG28,2118-8
HCGB,21198-7
HCGMD,Not mapped
HCGQ14,21198-7
HCGQ15,2118-8
HCGQ16,2118-8
HCGQ23,21198-7
HCGS18,2118-8
HCGS24,2118-8
HCGS26,2118-8
HCGS27,2118-8
HCGT26,Not mapped
HCGU18,2112-1
HCGU24,Not mapped
HCHRM,Not mapped
HCIM,Not mapped
HCO114,14627-4
HCO3,1960-4
HCO314,1963-8
HCO318,1963-8
HCO323,1960-4
HCO325,1960-4
HCO326,1960-4
HCO3A3,1960-4
HCO3AP,1960-4
HCO3POC,1960-4
HCO3V3,14627-4
HCO3VP,14627-4
HCOA14,1960-4
HCOA27,1960-4
HCOC24,Not mapped
HCOC27,Not mapped
HCOCA3,28640-1
HCOIST,1960-4
HCOP24,1960-4
HCOV14,14627-4
HCOV24,14627-4
HCOV27,14627-4
HCPV24,Not mapped
HCR15,9830-1
HCR16,9830-1
HCRNAQ,11011-4
HCRT1Q,11011-4
HCT,20570-8
HCT14,20570-8
HCT15,20570-8
HCT16,20570-8
HCT17,20570-8
HCT18,20570-8
HCT21,20570-8
HCT23,20570-8
HCT24,20570-8
HCT25,20570-8
HCT26,20570-8
HCT27,20570-8
HCT28,20570-8
HCT2Q,20570-8
HCT3,20570-8
HCTA17,Not mapped
HCTBFT,Not mapped
HCTC,20570-8
HCTC25,20570-8
HCTD,20570-8
HCTDMV,Not mapped
HCTF18,Not mapped
HCTG25,20570-8
HCTI,20570-8
HCTI14,20570-8
HCTI27,20570-8
HCTIST,20570-8
HCTP,20570-8
HCTP24,20570-8
HCTV25,20570-8
HCTX2,20570-8
HCV_AB,16128-1
HCV3,16128-1
HCVABQ,13955-0
HCVG1Q,32286-7
HCVLS,Not mapped
HCVMAQ,Not mapped
HCVNLS,Not mapped
HCVQMD,Not mapped
HCVR1Q,11011-4
HCVR3Q,Not mapped
HCVR4Q,Not mapped
HCVRNQ,Not mapped
HCVRTQ,11011-4
HDL,2085-9
HDL14,2085-9
HDL15,2085-9
HDL16,2085-9
HDL17,2085-9
HDL23,2085-9
HDL24,2085-9
HDL25,2085-9
HDL26,2085-9
HDL27,2085-9
HDL28,2085-9
HDLC18,2085-9
HDLC3,2085-9
HDLCHQ,2085-9
HDLCQ,Not mapped
HDQA1Q,Not mapped
HDRXIT,Not mapped
HDTHCQ,48934-4
HDUSTQ,9828-5
HDVABQ,13248-0
HDVAGQ,7906-1
HDVIM,Not mapped
HE4Q,55180-4
HEAC26,30197-8
HEBRAQ,6158-0
HEDC16,35155-1
HEIGGQ,14211-7
HEIGMQ,14212-5
HELHAL,7395-7
HELMT,10374-7
HELPNO,24467-3
HELPR,8123-2
HEMGLU,4639-1
HEMIN2,59462-2
HEMO14,Not mapped
HEMOFS,Not mapped
HEOSQ,Not mapped
HEPACQ,Not mapped
HEPAMQ,13950-1
HEPARQ,13951-9
HEPCU,8198-4
HEPF4PLT,Not mapped
HEPFE,Not mapped
HEPIII,49901-2
HEPIND,49061-5
HEPIQ,Not mapped
HEPLEQ,3271-4
HEPLEV,Not mapped
HEPLTAB,Not mapped
HEPSQ,5193-8
HEPT1Q,5193-8
HEPT2Q,5193-8
HEPTAQ,9447-4
HEPTCI,49900-4
HEPTYP,Not mapped
HEQ,24438-4
HEVG,Not mapped
HEVI,Not mapped
HEVM,14212-5
HEXAPQ,9451-6
HEXC16,30356-0
HEXC26,33036-5
HEXC6,30358-6
HEXCAR,30236-4
HEXCI,23874-1
HEXD16,38365-3
HEXDEC,30357-8
HEXIII,23875-8
HEXLIP,33930-9
HEXOQ,Not mapped
HFHR16,Not mapped
HGA12Q,4547-6
HGA22Q,4551-8
HGA3Q,4555-9
HGB,718-7
HGB14,718-7
HGB15,718-7
HGB16,718-7
HGB17,718-7
HGB18,718-7
HGB2,718-7
HGB21,718-7
HGB23,718-7
HGB24,718-7
HGB25,718-7
HGB26,718-7
HGB27,718-7
HGB28,718-7
HGB2Q,718-7
HGB3,718-7
HGBA14,718-7
HGBA25,30313-1
HGBANS,718-7
HGBC25,718-7
HGBCC,718-7
HGBI3,718-7
HGBIST,718-7
HGBLQ,5685-3
HGBMV,Not mapped
HGBOC,Not mapped
HGBP,14775-1
HGBP25,718-7
HGBPOC,14775-1
HGBPUL,718-7
HGBV25,718-7
HGBVP,718-7
HGCSFQ,Not mapped
HGF2Q,4576-5
HGF3Q,4576-5
HGLC20,35171-8
HGP41Q,Not mapped
HGPLUQ,Not mapped
HGRANQ,Not mapped
HGUQ,21383-5
HGZQ,Not mapped
HHCTQ,Not mapped
HHGBQ,Not mapped
HHV614,Not mapped
HHV6MD,Not mapped
HHV6QV,Not mapped
HIAA,Not mapped
HIAA5Q,Not mapped
HIAB24,Not mapped
HIBAB,Not mapped
HIP65Q,Not mapped
HISQ,20645-8
HISTD,20645-8
HISTMYCE,Not mapped
HISTQ,Not mapped
HISTUQ,13971-7
HISTYEAS,Not mapped
HITCL,Not mapped
HITRQ,Not mapped
HIV1MD,Not mapped
HIV1Q,44871-2
HIV2DQ,Not mapped
HIV2Q,30361-0
HIV3,Not mapped
HIV4Q,Not mapped
HIVAB,31201-7
HIVALS,Not mapped
HIVCON,Not mapped
HIVEIQ,44871-2
HIVGQ,Not mapped
HIVLS,25835-0
HIVP24,Not mapped
HIVQ,Not mapped
HIVQMD,Not mapped
HIVR24,Not mapped
HIVRQ,Not mapped
HIVWBQ,Not mapped
HJBOD,Not mapped
HLA1Q,Not mapped
HLA4Q,4983-3
HLAAQ,Not mapped
HLAATB,Not mapped
HLAATT,Not mapped
HLAB27,Not mapped
HLABQ,Not mapped
HLACQ,Not mapped
HLACYL,Not mapped
HLADRQ,Not mapped
HLAENG,Not mapped
HLAM,Not mapped
HLAM2,Not mapped
HLAPAB,Not mapped
HLAPL,Not mapped
HLATC,Not mapped
HLATR,Not mapped
HLATY,Not mapped
HLB1Q,Not mapped
HLCOPQ,29541-0
HLCW1Q,Not mapped
HLD15,Not mapped
HLDQ2Q,Not mapped
HLDQ8Q,41283-3
HLDQAQ,Not mapped
HLIM14,Not mapped
HLL15,Not mapped
HLN,Not mapped
HLPSUP,54218-3
HLYMQ,Not mapped
HMCC15,Not mapped
HMCC24,Not mapped
HMCC26,Not mapped
HMCHCQ,Not mapped
HMCHQ,Not mapped
HMCHRQ,Not mapped
HMCQ,30355-2
HMCVQ,787-2
HMINQ,44008-1
HMIQ,41399-7
HMMQ,Not mapped
HMONOQ,Not mapped
HMPVQ,32623-1
HMTQ,Not mapped
HMWKIN,Not mapped
HNS3Q,Not mapped
HO3V25,14627-4
HOCCRSLT,Not mapped
HOCCTECH,Not mapped
HOJO,7793-3
HOJO14,7793-3
HOMOC,Not mapped
HOMOCQ,13965-9
HOMOCY,13965-9
HOMOCYST,13965-9
HOMONQ,2428-1
HOMQ,Not mapped
HONBEE,Not mapped
HORNTW,6280-2
HORNTY,6288-5
HORSE,6143-2
HP120Q,Not mapped
HP160Q,Not mapped
HP18Q,Not mapped
HP31Q,Not mapped
HP40Q,Not mapped
HP51Q,Not mapped
HP55Q,Not mapped
HPA,34701-3
HPABQ,5218-3
HPEP27,Not mapped
HPF4,33594-3
HPF4Q,33594-3
HPGOD,53938-7
HPGODQ,53938-7
HPIG1Q,7902-0
HPIGA,7901-2
HPIGG,7902-0
HPIGM,7903-8
HPIGMQ,7903-8
HPLTQ,Not mapped
HPPROQ,Not mapped
HPYG,Not mapped
HPYLORIA,Not mapped
HR116,Not mapped
HR216,Not mapped
HR316,Not mapped
HRBCMQ,Not mapped
HRBCQ,Not mapped
HRDWQ,Not mapped
HRP8Q,Not mapped
HS114,Not mapped
HS1DQ,16130-7
HS1MC,Not mapped
HS214,Not mapped
HS2DQ,16131-5
HS2MC,26927-4
HSAG24,5196-1
HSG,Not mapped
HSGGIQ,Not mapped
HSGMIQ,Not mapped
HSM,40729-6
HSOD,Not mapped
HSV11Q,5206-8
HSV1C,Not mapped
HSVCFQ,5859-4
HSVCMD,Not mapped
HSVDFQ,5855-2
HT1Q,Not mapped
HT2Q,Not mapped
HUABSQ,17341-9
HUNTQ,21763-8
HUWBQ,11089-0
HV6IGG,25416-9
HV6IGM,25417-7
HV7G,26972-0
HV7M,27177-5
HVA,59587-6
HVARQ,11146-8
HYAL18,5796-8
HYAL25,5796-8
HYAL26,5796-8
HYAL28,5796-8
HYCAST,5796-8
HYDEQ,25108-2
HYDRCQ,3680-6
HYDROQ,3683-0
HYPC,30400-6
HYPC14,30400-6
HYST,41861-6
HYST26,41861-6
HYST28,41861-6
HZG,19162-7
HZM,5404-9
IA2Q,31209-0
IAQ,5229-0
IARPQ,34487-9
IBC15,2500-7
IBC16,2500-7
IBIL,1971-1
IBIL15,1971-1
IBIL23,1971-1
IBIL25,1971-1
IBQ,5230-8
IBRPQ,40982-1
IC4Q,43243-5
IC5Q,30531-8
ICA18,59470-5
ICA28,1994-3
ICAI,1994-3
ICAI14,1994-3
ICAI27,1994-3
ICAI3,1994-3
ICAIST,1994-3
ICAL17,1994-3
ICAL28,1994-3
ICAP26,59470-5
ICDC1Q,27831-7
ICQ,25111-6
ICRE24,38483-4
ICSABQ,10865-4
ICTO24,5770-3
IEINTQ,49275-1
IEPQ,Not mapped
IGA,2458-8
IGA14,2458-8
IGAQ,2458-8
IGDQ,2460-4
IGDTQ,21570-7
IGE,19113-0
IGEQ,19113-0
IGFBP1,12722-5
IGFBPQ,2483-6
IGFIEQ,2484-4
IGFP2Q,12723-3
IGG,2465-3
IGG1,2466-1
IGG14,2465-3
IGG1Q,2466-1
IGG2,2467-9
IGG2Q,2467-9
IGG3,2468-7
IGG3Q,2468-7
IGG4,2469-5
IGG4Q,2469-5
IGGCSQ,2464-6
IGGIND,14117-6
IGGQ,2465-3
IGM,2472-9
IGM14,2472-9
IGM15,2472-9
IGM24,2472-9
IGM25,2472-9
IGM26,2472-9
IGMQ,2472-9
IL28MD,60279-7
IL2Q,33939-0
IL6Q,26881-3
ILGF1,2484-4
ILGFP3,2483-6
IMIPQ,3690-5
IMIPRQ,3691-3
IMIPTQ,3690-5
IMM25,48702-5
IMMDFQ,48614-2
INAAQ,5232-4
INAQ,23883-2
INFBQ,53796-9
INFLUA,34487-9
INFLUB,40982-1
INIBQ,34319-4
INPTHQ,2731-8
INR,6301-6
INR14,6301-6
INR15,6301-6
INR16,6301-6
INR17,6301-6
INR18,6301-6
INR23,6301-6
INR24,6301-6
INR25,6301-6
INR26,6301-6
INR27,6301-6
INR28,6301-6
INR3,6301-6
INRCBB,6301-6
INSU1Q,20448-7
INSUL,20448-7
INT11Q,12710-0
INT14Q,56850-1
INT1Q,13629-1
INT22Q,Not mapped
INT23Q,Not mapped
INT25Q,Not mapped
INT26Q,Not mapped
INT27Q,Not mapped
INT28Q,Not mapped
INT33Q,38404-0
INT34Q,33477-1
INT41Q,51760-7
INT57Q,34964-7
INTBGQ,27871-3
INTERP,49247-0
INTP26,36924-9
INTP36,2191-5
INTP65,49290-0
INTP87,59462-2
INTRMQ,5838-8
INTSF,15014-4
INTVLC,56850-1
IRF14,Not mapped
IRN15,2498-4
IRN16,2498-4
IRN23,2498-4
IRON,2498-4
IRON18,2498-4
ISABTQ,13927-9
ISO18,Not mapped
ISOCOP,33625-5
ISOHEP,23885-7
ISOHEX,23886-5
ISOPEN,23887-3
ISOPQN,Not mapped
ISOPSC,9434-2
ISOQ,20648-2
ISPP24,Not mapped
ISPT24,Not Mapped
ITRACN,25258-5
ITRAQ,10989-2
ITRCL,10989-2
ITRCON,25258-5
JAK12Q,55300-8
JAK13Q,55301-6
JAK217,43399-5
JAK2Q,43399-5
JCABQ,70173-0
JCCMD,33295-7
JCPV14,33295-7
JOQ,11565-9
JUNEGR,6153-1
K,2823-3
K14,2823-3
K15,2823-3
K16,2823-3
K17,2823-3
K18,2823-3
K2,2823-3
K21,2823-3
K23,2823-3
K24,2823-3
K25,2823-3
K26,2823-3
K27,2823-3
K28,2823-3
K3,2823-3
KA17,6298-4
KA18,6298-4
KACHQ,27365-6
KAPSQ,11050-2
KBG14,Not mapped
KBLUEQ,6153-1
KCC,6298-4
KETON,2514-8
KETU,2514-8
KGAS,32713-0
KGAS25,6298-4
KI3,2823-3
KIS,6298-4
KIS14,6298-4
KIS27,6298-4
KIS28,6298-4
KISTAT,6298-4
KMAQ,21702-6
KP,6298-4
KP25,6298-4
KP26,6298-4
KP27,6298-4
KPOC,6298-4
KPOC24,6298-4
KPOV24,6298-4
KS25,2823-3
KTV18,3167-4
KUQ,18484-6
KV25,6298-4
KWB14,6298-4
L18Q,9588-5
L23MQ,9598-4
L28Q,9590-1
L30Q,9591-9
L39MQ,9599-2
L39Q,9599-2
L41MQ,9587-7
L41Q,9587-7
L45Q,9594-3
L58Q,9595-0
L66Q,9596-8
L93Q,9597-6
LA15,2518-9
LA16,2518-9
LA23,2518-9
LAAC12,35150-2
LAAP25,2518-9
LABG14,2518-9
LACA18,2518-9
LACA24,2518-9
LACA27,2518-9
LACCS,Not mapped
LACFQ,Not mapped
LACG25,Not mapped
LACHQ,27394-6
LACOQ,59297-2
LACP25,Not mapped
LACP26,32693-4
LACP27,Not mapped
LACPOC,2518-9
LACS15,Not mapped
LACS16,Not mapped
LACSQ,42924-1
LACT,32693-4
LACT14,32693-4
LACT17,32693-4
LACT3,32693-4
LACTI,32693-4
LACTI3,32693-4
LACTP,32693-4
LACV18,2519-7
LACV24,2519-7
LACV25,Not mapped
LACV26,2519-7
LACV27,2519-7
LACV28,2519-7
LAMBD,Not mapped
LAMCTQ,Not mapped
LAMICTAL,Not mapped
LAMLCQ,Not mapped
LAMOT,Not mapped
LAMQ,6156-4
LAMSQ,11051-0
LAPSET,Not mapped
LAQ,25112-4
LATX,6158-0
LAUC12,35151-0
LAWB14,32693-4
LC18Q,30534-2
LCMGC,9765-9
LCMINC,49142-3
LCMMC,9767-5
LCMMQ,9767-5
LCMQ,9765-9
LCULQ,593-4
LD,2532-0
LD12RQ,14119-2
LD1IQ,2536-1
LD2IQ,2539-5
LD3,2532-0
LD3IQ,2542-9
LD4IQ,2545-2
LD5IQ,2548-6
LDH,2532-0
LDH15,2532-0
LDH16,2532-0
LDH17,2532-0
LDH18,2532-0
LDH23,2532-0
LDH24,2532-0
LDH25,2532-0
LDH26,2532-0
LDH27,2532-0
LDH28,2532-0
LDHBFT,2529-6
LDHDRQ,11054-4
LDIQ,2532-0
LDL,13457-7
LDL14,13457-7
LDL15,13457-7
LDL16,13457-7
LDL17,13457-7
LDL18,13457-7
LDL24,13457-7
LDL3,13457-7
LDLC23,13457-7
LDLC25,13457-7
LDLC26,13457-7
LDLC27,13457-7
LDLCALC,13457-7
LDLCHQ,13457-7
LDLD25,13457-7
LDQ,2532-0
LEGU1Q,6447-7
LEPTQ,21365-2
LEU,5799-2
LEUCQ,20649-0
LEUCU,5798-4
LEUKU,5799-2
LEVQ,30471-7
LEVTRA,30471-7
LGWBQ,6320-6
LH,10501-5
LH24,10501-5
LH25,10501-5
LH3,10501-5
LHORM,10501-5
LHQ,10501-5
LI,14334-7
LI14,14334-7
LI23,14334-7
LI24,14334-7
LI25,14334-7
LI26,14334-7
LIDCN,3714-3
LIDCNQ,3714-3
LINC18,35165-0
LINCAR,30534-2
LIP14,3040-3
LIP15,3040-3
LIP16,3040-3
LIP18,3040-3
LIP23,3040-3
LIPA17,3040-3
LIPA24,3040-3
LIPA25,3040-3
LIPA26,3040-3
LIPA27,3040-3
LIPA28,3040-3
LIPASE,3040-3
LIPAUQ,10888-6
LIPEQ,Not mapped
LIPSE3,3040-3
LIQ,14334-7
LISQ,6456-8
LITH,14334-7
LITH17,14334-7
LITH18,14334-7
LITH28,14334-7
LIVRF,15015-1
LKMA,32220-6
LPAQ,43583-4
LPDFAQ,588-4
LPIGGQ,21362-9
LPIGMQ,16133-1
LPM17,Not mapped
LPPLQ,39804-0
LPS,3040-3
LRTA17,14196-0
LRTP17,17849-1
LVGQ,10904-1
LVMQ,10905-8
LY14,26478-8
LYA23,26474-7
LYAB14,26474-7
LYM15,26478-8
LYM16,26478-8
LYM17,26478-8
LYM18,26478-8
LYM28,26478-8
LYMBMQ,6321-4
LYMC25,26478-8
LYMEM,5064-1
LYMP17,26478-8
LYMP24,26478-8
LYMP25,26478-8
LYMP3,26478-8
LYMPAB,5060-9
LYMPD,26474-7
LYMPH,26478-8
LYMPH%,26478-8
LYMPHBF,11031-2
LYMPHS,26478-8
LYMTQ,4991-6
LYP23,26478-8
LYSOH,26610-6
LYSOZQ,10971-0
LYSQ,20650-8
M1HST,20633-4
M1SPK,51435-6
M2G,14251-3
M2SPK,35559-4
M3HST,20635-9
M3SPK,50796-2
MABA25,Not mapped
MACM24,Not mapped
MACRC,Not mapped
MAEO25,712-0
MAG18,19123-9
MAG3,19123-9
MAGABM,43190-8
MAGQ,21401-5
MALARQ,32700-7
MALB15,14957-5
MALB16,14957-5
MALBQ,14957-5
MALIQ,25113-2
MALY25,26474-7
MAMC25,26484-6
MAMP24,19554-5
MAMQ,21402-3
MANC25,751-8
MAPLE,7155-5
MB18,13969-1
MB27,13969-1
MBAS25,30180-4
MBAS26,30180-4
MBAS27,30180-4
MBCPK,13969-1
MBPQ,2638-5
MBQ,5244-9
MBRI14,12187-1
MBRI27,12187-1
MCEDQ,6178-8
MCH,785-6
MCH14,785-6
MCH15,785-6
MCH16,785-6
MCH17,785-6
MCH18,785-6
MCH21,785-6
MCH23,785-6
MCH24,785-6
MCH25,785-6
MCH26,785-6
MCH27,785-6
MCH28,785-6
MCH2Q,785-6
MCH3,785-6
MCHC,786-4
MCHC14,786-4
MCHC15,786-4
MCHC16,786-4
MCHC17,786-4
MCHC18,786-4
MCHC21,786-4
MCHC23,786-4
MCHC24,786-4
MCHC25,786-4
MCHC26,786-4
MCHC27,786-4
MCHC28,786-4
MCHC3,786-4
MCHCX2,786-4
MCHH25,786-4
MCHX2,785-6
MCS17,12235-8
MCUR14,Not mapped
MCUR27,Not mapped
MCV,787-2
MCV14,787-2
MCV15,787-2
MCV16,787-2
MCV17,787-2
MCV18,787-2
MCV21,787-2
MCV23,787-2
MCV24,787-2
MCV25,787-2
MCV26,787-2
MCV27,787-2
MCV28,787-2
MCV2Q,787-2
MCV3,787-2
MCVC25,787-2
MCVX2,787-2
MDAQ,74647-9
MDEAQ,82965-5
MDMAQ,74652-9
MEAC20,35172-6
MEADQ,6169-7
MEAGQ,5244-9
MEAM,5245-6
MEASRM,5245-6
MECQ,25114-0
MEHB14,2614-6
MEHB17,2614-6
MEOHSC,5695-2
MEOS25,714-6
MEOS26,714-6
MEOS27,714-6
MEPRQ,3753-1
MEQ,25118-1
MEQUAQ,3786-1
MESO23,12234-1
MESOQ,12234-1
META,28541-1
META14,28541-1
META15,28541-1
META16,28541-1
META17,28541-1
META18,28541-1
META24,28541-1
META25,28541-1
META26,28541-1
META27,28541-1
META28,28541-1
META3,28541-1
METAS,28541-1
METATQ,2609-6
METCAR,30531-8
METH18,2614-6
METH25,2614-6
METH26,2614-6
METH27,2614-6
METH28,3773-9
METH3,3773-9
METHAQ,3772-1
METHD,3772-1
METHG3,2614-6
METHGBPO,2614-6
METHGP,2614-6
METHIQ,20651-6
METP25,2614-6
METPHQ,29141-9
MFAEQ,6818-9
MG,19123-9
MG14,19123-9
MG15,19123-9
MG16,19123-9
MG17,19123-9
MG23,19123-9
MG24,19123-9
MG25,19123-9
MG26,19123-9
MG27,19123-9
MG28,19123-9
MHB23,2615-3
MHEPIQ,35707-9
MI2Q,18485-3
MICM24,Not mapped
MICRC,Not mapped
MICRO,741-9
MILKQ,6174-7
MIRTQ,17283-3
MITEQ,6095-4
MITOQ,5247-2
MKAPCQ,15188-6
MLAMCQ,15187-8
MLTPA,6013-7
MLYM25,26478-8
MLYM26,26478-8
MLYM27,26478-8
MMANIQ,13964-2
MMCQ,50542-0
MMLNIC,13964-2
MMON25,26485-3
MMON26,26485-3
MMON27,26485-3
MN2,5683-8
MNEU25,770-8
MNEU26,770-8
MO14,26485-3
MO15,26485-3
MO16,26485-3
MOA23,26484-6
MOAB14,26484-6
MODE14,20124-4
MODE23,20124-4
MON17,26485-3
MON18,26485-3
MON28,26485-3
MONC25,26485-3
MONO,26485-3
MONO%,26485-3
MONO17,26485-3
MONO24,26485-3
MONO25,26485-3
MONO3,26485-3
MONOD,26484-6
MONOS,26485-3
MONT17,5213-4
MOP23,26485-3
MORPH,3827-3
MOTRIN,3687-1
MPAG,23906-1
MPAGQ,23906-1
MPFQ,6818-9
MPV,32623-1
MPV14,32623-1
MPV15,32623-1
MPV16,32623-1
MPV17,32623-1
MPV18,32623-1
MPV21,32623-1
MPV23,32623-1
MPV24,32623-1
MPV25,32623-1
MPV26,32623-1
MPV27,32623-1
MPV28,32623-1
MPV3,32623-1
MPVC25,32623-1
MRGC,5244-9
MRMC,5245-6
MSEG27,26505-8
MSQ,25117-3
MTBQ,38379-4
MTHDQ,49549-9
MTHFMD,21709-1
MTTRXQ,14836-1
MUC18,8247-9
MUC24,8247-9
MUC25,8247-9
MUCNQ,6909-6
MUCO14,8247-9
MUCOQ,6182-0
MUCS26,8247-9
MUCS28,8247-9
MUCU,8247-9
MUCU3,8247-9
MUCUS,8247-9
MUGWRT,6183-8
MUSKQ,51763-1
MUSQQ,51763-1
MXILQ,3819-0
MY14,26498-6
MYAC14,35157-7
MYCO,5256-3
MYCQ,23905-3
MYEABQ,46266-3
MYEL15,26498-6
MYEL16,26498-6
MYEL17,26498-6
MYEL24,26498-6
MYEL25,26498-6
MYEL26,26498-6
MYEL27,26498-6
MYEL28,26498-6
MYELO,26498-6
MYELO3,26498-6
MYELOS,26498-6
MYLO18,26498-6
MYLP23,26498-6
MYO1Q,2639-3
MYO25,2639-3
MYO2Q,2639-3
MYOG,2639-3
MYOGBRU,2641-9
MYOQ,42181-8
MYPABQ,20573-2
MYRC14,35158-5
NA021,2951-2
NA14,2951-2
NA15,2951-2
NA16,2951-2
NA17,2951-2
NA18,2951-2
NA2,2951-2
NA23,2951-2
NA24,2951-2
NA25,2951-2
NA26,2951-2
NA27,2951-2
NA28,2951-2
NA3,2951-2
NAA17,32717-1
NAA18,32717-1
NABG14,2947-0
NABG23,2947-0
NACQ,25119-9
NAG25,2947-0
NAGAS,32717-1
NAI3,2951-2
NAIS,2947-0
NAIS14,2947-0
NAIS27,2947-0
NAIS28,2947-0
NAIST,2947-0
NAP,2947-0
NAP24,2947-0
NAP25,2947-0
NAP26,2947-0
NAP27,2947-0
NAPAQ,3834-9
NAWB14,2947-0
NBUPRQ,49753-7
NCLZRQ,10992-6
NCTHCQ,16150-5
NDDXQ,3862-0
NE14,26505-8
NEA23,751-8
NEAB14,751-8
NEP23,26505-8
NEPIN,2666-6
NERC24,35170-0
NEUFAQ,12598-9
NEUT18,770-8
NEUT24,770-8
NEUT25,770-8
NEUT3,770-8
NEUTAB,41617-2
NFENTQ,11074-2
NFLXTQ,3868-7
NGDN1Q,24111-7
NGONAQ,9568-7
NHDC26,43396-1
NICQ,3853-9
NICTQ,3854-7
NIDUQ,42192-5
